gene	log2FoldChange	pvalue
POP7	0.603123402	0.88485265
UBE2V2	0.596839634	0.533216542
DPRX	0.595928834	0.85497411
HYAL2	0.59515917	0.841919153
WIPI1	0.593640369	0.833421254
DPF2	0.592664945	0.88683582
CNTNAP3;CNTNAP3B	0.591779183	0.330450051
RNF170	0.590937477	0.887164308
ACYP1	0.583790002	0.260518544
PNMA2	0.583519765	0.42102254
MIEN1	0.582061398	0.888847235
SERF2	0.576110392	0.530589519
PCID2	0.563807031	0.892311658
HMGCS1	0.563028192	0.854606538
FAHD1	0.561596829	0.271218746
ADAMTS1	0.559551139	0.401379406
CWC22	0.556107304	0.270093982
SCPEP1	0.552110325	0.850933441
EPT1	0.551286155	0.894689094
SHKBP1	0.544117373	0.854792625
NTAN1	0.542997461	0.896263891
ATXN7L3B	0.542308768	0.857313146
PIR	0.537513636	0.859862863
SGTB	0.536984101	0.897405922
SPA17	0.532651568	0.898230113
GDPGP1	0.532455174	0.855744692
MTHFSD	0.530812566	0.898578572
TRAPPC11	0.528484904	0.858803076
SLC9A7	0.5282654	0.857543784
SUSD5	0.520940012	0.860645288
OCIAD2	0.519952634	0.280878818
SHROOM3	0.51721131	0.90116348
APLF	0.516611092	0.320662912
NAF1	0.514381257	0.901701842
MOXD1	0.514329602	0.30035506
NO66	0.514206147	0.901735173
ZBTB7A	0.51201659	0.902151461
IGFBP3	0.507530806	0.687906625
TRAF1	0.506439196	0.903211961
CHCHD4	0.505040538	0.903477946
THOC5	0.498233814	0.866767045
MT-ND4	0.493597633	0.905654871
ALAS1	0.491264885	0.859942217
ZNF638	0.489757054	0.297654196
COX6A1	0.4864045	0.286477492
UTP20	0.485697445	0.353369566
EMG1	0.481438729	0.333287019
CYR61	0.480054456	0.426336121
NUBP2	0.480027395	0.552648705
FBLL1	0.478494759	0.8759798
CNIH4	0.471964084	0.384753201
IPO13	0.471266435	0.909904365
PLEKHM2	0.46961322	0.910219251
SIL1	0.468901215	0.291456185
TMEM97	0.467751397	0.910573644
TTC13	0.466783964	0.910757851
ARHGEF17	0.465581927	0.910986845
XYLB	0.464046073	0.911279072
NME2P1	0.46083237	0.443730401
DIABLO	0.456151197	0.366914103
MYPN	0.455926087	0.881275139
MRPS18A	0.451529166	0.312467692
WIPI2	0.449796163	0.913992588
MED28	0.448494708	0.914240751
LRRC20	0.44754089	0.879696775
MTMR2	0.447454582	0.881378093
6-Mar	0.444147385	0.915069115
ENTPD4	0.441768355	0.915522437
WIPF1	0.437423127	0.916349698
NAA38	0.433738626	0.263712839
PPWD1	0.430985211	0.917576565
TMEM263	0.430120382	0.408122608
HAUS6	0.429057542	0.886753513
SFRP1	0.428949749	0.341538595
TMBIM1	0.427422741	0.918255578
ASH1L	0.426526328	0.918426038
NDUFC1	0.420994972	0.335267266
APOO	0.418778232	0.315598837
DDX52	0.418182497	0.481474811
GNG5	0.415198884	0.56240704
OGFRL1	0.414572894	0.920704841
WDR92	0.407194928	0.670545635
RBM4B	0.403708021	0.89114585
PTK2	0.402837685	0.287649582
PCIF1	0.402217042	0.923060615
ZNF598	0.400740075	0.584507842
OSBPL3	0.400190882	0.923446729
NUP210	0.399808718	0.923519792
IMP4	0.396309892	0.895641538
ATG13	0.396129125	0.924221668
HMGA2	0.395574699	0.40318542
RAP1A	0.395112238	0.432750987
GGA2	0.394098018	0.895808271
IRAK1	0.392677114	0.605266269
CPEB4	0.391277651	0.319229747
KRT5	0.390437578	0.901603381
CCM2	0.389719641	0.329562426
IFIT3	0.387858426	0.561267354
PCDH7	0.387792317	0.925811602
TAP2	0.384735032	0.902606958
NSUN4	0.382574965	0.926807436
RMDN1	0.382091248	0.303855798
STOM	0.381836214	0.599676276
QSOX1	0.377612774	0.299481713
SDC4	0.375995566	0.38182228
MT-CO2	0.375648362	0.448572659
GSTM4	0.375382483	0.897668
RTN4IP1	0.374463414	0.928354868
TSC22D4	0.374282324	0.316277064
MED27	0.373576088	0.381479821
POLR2G	0.372766483	0.268269876
SORBS2	0.372732758	0.928684993
CHML	0.371280903	0.928962052
CDIPT	0.370886924	0.437553858
CUEDC2	0.370866946	0.929041103
SLC26A2	0.370721405	0.315427878
PNPO	0.369986404	0.295628882
PACS2	0.367822368	0.929622224
PRSS23	0.366806617	0.536130232
FAM45A;FAM45B	0.364750381	0.274241311
FN1	0.362586194	0.59429058
PARD3	0.359274951	0.264888396
MT-ND1	0.359076217	0.373148443
GPR180	0.356342747	0.931813165
AGA	0.352340984	0.905428914
NDOR1	0.351670034	0.905938777
ZNF512	0.347755303	0.328051944
PDGFRB	0.345747915	0.52393759
LOX	0.345289372	0.542430814
ADAMTS12	0.344323771	0.934107468
LENG8	0.341904146	0.934569494
PIEZO1	0.340831388	0.634393505
PLA2G16	0.337968354	0.465662475
SLC38A10	0.335764624	0.315239934
SH3BP5L	0.335711142	0.327431739
CHMP6	0.335558921	0.910979256
SHB	0.33491164	0.482230536
TOP2B	0.334630397	0.293804264
THBS1	0.333227703	0.463107365
FAH	0.330975749	0.264526432
FBXO22	0.329348948	0.427219427
SERPINB2	0.329214548	0.659810637
RPS24	0.32860792	0.377861548
CRYL1	0.32598383	0.44281688
NEMF	0.325610765	0.294077479
PHPT1	0.324919116	0.319036485
P4HA2	0.324114263	0.389863305
FTL	0.323874174	0.540829725
MTMR12	0.321983994	0.305312372
RGMB	0.320425467	0.938671542
TGFB1I1	0.320257271	0.432458976
GLTP	0.316360454	0.345099202
FKBP1A	0.315996622	0.29517402
SNRPG;SNRPGP15	0.315469528	0.696195734
MAP2	0.314381713	0.411917026
AGTRAP	0.313797455	0.434148313
TUBAL3	0.313774023	0.374820866
MEA1	0.313335138	0.940025977
PPCS	0.309950792	0.256585317
OTUD7B;OTUD7A	0.308978145	0.446261159
ATP6V1E1	0.308894765	0.446429883
ALG5	0.30857672	0.940935167
MRPL55	0.306598467	0.397445847
SELT	0.306565383	0.338551069
FAM21A	0.306384868	0.941353817
CREG1	0.305902023	0.917961366
ARF5	0.305308896	0.406622212
RABGGTA	0.305279913	0.2739764
LYPLA2	0.305162848	0.276036774
EXOSC4	0.305081897	0.478313596
TATDN1	0.304683451	0.941678899
DDX27	0.303676273	0.360855126
TXN	0.303498442	0.35379917
TMEM167A	0.302613608	0.305288174
WBP2	0.302413243	0.310205326
TXNRD2	0.301897512	0.44336566
TAB2	0.301888183	0.329470265
S100A10	0.301672941	0.47432236
SPRYD4	0.300798335	0.317319746
SHPK	0.3007716	0.942426522
TOMM40	0.300014301	0.268659247
ZC3HC1	0.299696903	0.387454836
SYNGR2	0.298437639	0.490304507
TMED2	0.297649282	0.449867324
ARFGEF2	0.297303894	0.36100249
MFAP1	0.294643861	0.413380188
CHST14	0.294593658	0.270739402
TBC1D15	0.293610013	0.266637509
PGM1	0.293545249	0.323641195
ARID1B	0.293405017	0.570703573
INPP1	0.292681052	0.287783418
LPIN1	0.292050003	0.944093158
USP19	0.2920152	0.304941381
FAM96A	0.291856827	0.464200033
CHMP7	0.291300787	0.382406332
SIRT1	0.289865986	0.472624131
MPP1	0.289300708	0.944618698
PEX5	0.288992546	0.497294649
GTF2H2C;GTF2H2	0.288630508	0.382023738
NOP9	0.287038956	0.400690386
WDR82	0.286739618	0.403525465
TOMM22	0.286392699	0.600191831
S100A6	0.285933039	0.385706499
COA4	0.28552624	0.293899081
NEDD4L	0.284348623	0.466684282
ATXN3	0.283915255	0.945648153
AKAP10	0.283802287	0.403690685
NAT1	0.283543021	0.376631593
DAB2	0.283126687	0.519345661
SRR	0.282927229	0.5454368
GUK1	0.282797478	0.27646891
PRKCA	0.281894167	0.543984623
CDK12	0.280930018	0.25697109
DLAT	0.280852325	0.363211404
FDFT1	0.279923029	0.412769392
RNASEH1	0.279664567	0.525711842
DYNC2H1	0.279424868	0.277685942
CRNKL1	0.278960796	0.270605633
ARL6IP5	0.278429313	0.285120134
TFG	0.278260836	0.5443401
ARAP3	0.27812677	0.509013111
GTPBP10	0.278011878	0.574117726
TMTC3	0.277307426	0.268368161
RPL36	0.276992913	0.296592289
CYP20A1	0.275315739	0.391085843
MLLT1	0.273547946	0.497695829
KLC4	0.27315079	0.429620275
NUDT3	0.272735233	0.451230334
SHMT1	0.272223283	0.617532577
MBLAC1	0.272094194	0.559539567
CDK7	0.271378381	0.609366086
N4BP1	0.271114499	0.948094864
KIAA1033	0.270415395	0.523589541
CHAF1A	0.269081997	0.948483604
KDM3B	0.268201783	0.366551134
CACNA2D1	0.268059307	0.74100677
HECW2	0.26787838	0.31415323
TREX1	0.267828497	0.527266874
CXorf38	0.267508561	0.516163261
YIF1B	0.267468544	0.340592626
LSM1	0.266827771	0.314179608
FDX1	0.266821835	0.482948963
CCDC158	0.266632583	0.434444003
CD99L2	0.266515822	0.948974069
WDR33	0.265032513	0.949257705
IMPACT	0.264858066	0.596468685
CDK16	0.264613699	0.300104143
RPIA	0.264202476	0.474097079
CUX1	0.263987049	0.475335557
SPR	0.263509079	0.335692186
VIPAS39	0.263502701	0.497953477
EIF4EBP1	0.263021687	0.528206464
GNB4	0.262912441	0.271415192
ERCC3	0.26253304	0.574921494
HTATSF1	0.261688661	0.450781422
CAP2	0.260401621	0.476875816
CLNS1A	0.258858641	0.567773904
TRAPPC8	0.258772783	0.377814496
GALE	0.257677929	0.291785881
GALNS	0.257413118	0.26706189
PFKFB4	0.255452397	0.466505197
COG1	0.255380284	0.504493977
ARSB	0.25457646	0.52295596
CALML3	0.254328181	0.640600341
MTRR	0.254069169	0.507246349
CCDC178	0.253842966	0.518407411
PHGDH	0.253648819	0.282270265
GAMT	0.252722081	0.553924968
HIST2H2AB	0.2527045	0.669817793
WDR7	0.25264915	0.951625789
CARKD	0.252382055	0.527577536
AAMDC	0.251837663	0.560766654
CCDC88A	0.251747176	0.377941645
LMF2	0.251335057	0.261500776
SQRDL	0.249392636	0.571342535
NME1	0.248936967	0.328939968
TBL1XR1	0.248567112	0.343532509
RPS6KA1;RPS6KA2	0.248175329	0.399011843
MT-CO1	0.248024102	0.586308559
RPAP1	0.247779199	0.435891882
SMYD5	0.247567654	0.27002055
BNIP2;ATCAY	0.246705285	0.538483713
MID1	0.246156188	0.346591669
DDX23	0.245302975	0.42279992
VAMP3	0.245113653	0.588424895
VPS26B	0.244844887	0.413247804
MPP6	0.244816246	0.462691536
EXOSC7	0.244152543	0.424587122
GOLGA5	0.244146524	0.570217765
CBR3	0.243850706	0.430540088
NOL10	0.243241011	0.458741603
PDLIM4	0.243218212	0.292029294
FRMD6	0.242872166	0.295883355
RPL32	0.241543605	0.343362628
UXS1	0.240680611	0.645429137
TRIM24	0.240651851	0.934212239
SNRPE	0.240514242	0.552367934
ATP2C1	0.240483761	0.609242556
ATP5D	0.240326102	0.44952578
DHPS	0.240198604	0.547369615
PPIL4	0.24019042	0.320410611
CDH13	0.239856856	0.688353213
DFNA5	0.23764145	0.3875223
SRSF4	0.237315101	0.407950055
CUTA	0.236243243	0.379729839
ZC3H7B	0.236090768	0.692265698
C5orf51	0.235588382	0.353332228
RSL1D1	0.235443331	0.331728861
HSPB11	0.235302912	0.329353946
DHX37	0.234834221	0.476301227
CAMSAP2	0.234544049	0.44912191
IER3IP1	0.23406466	0.428585902
SNX15	0.23319918	0.515462508
BMS1	0.233162232	0.371228627
CCNK	0.232412999	0.513249565
SRA1	0.232396378	0.496456071
NOL3	0.231961402	0.2777482
LRRC8E	0.231281723	0.955712423
DDX58	0.230532712	0.573768071
DYSF	0.230133038	0.725588988
HSPA1B;HSPA1A	0.228936608	0.277551293
MRPS5	0.228019785	0.457145278
CRELD2	0.227805203	0.540758633
PRKAB1	0.227799773	0.347339993
FHL3	0.227767951	0.592108861
ARL1	0.227653719	0.486833061
GSN	0.227426197	0.522309267
RAB11FIP5	0.227245899	0.42281292
PDLIM2	0.227238307	0.941272896
PVR	0.226734068	0.568027868
ALKBH5	0.226399414	0.787951756
CECR5	0.226225852	0.27815684
PITPNM1	0.22616079	0.643926352
ANO10	0.225416617	0.273315746
L2HGDH	0.225239426	0.453140803
RBM34	0.225166548	0.344242687
RNF213	0.224606637	0.39723996
LIG1	0.223763197	0.332340999
PIGG	0.223702696	0.458080495
SURF4	0.222640241	0.518438858
CHCHD6	0.222562001	0.28846052
SNX33	0.22157019	0.256297035
ZNF579	0.221168568	0.456763159
PJA2	0.220761058	0.540767206
ACOT7	0.220040482	0.283518344
FAM91A1	0.219918267	0.312262309
RAB3A	0.219881514	0.656297478
MOB4	0.21944958	0.271490689
POLR1E	0.219332391	0.823070917
ERLIN2	0.219044507	0.522985746
THUMPD3	0.218760192	0.375031305
RNF25	0.218351794	0.301097988
GSTK1	0.218344036	0.517628931
STX18	0.218134836	0.705956065
SAR1B	0.21810837	0.468395902
COQ6	0.217493906	0.515336319
LACTB2	0.217144609	0.287383467
CASP3	0.216844053	0.392620173
MRPS24	0.216659487	0.38768561
SMCO3	0.216211497	0.958595635
CRAT	0.216163061	0.3774142
SEC24B	0.215797234	0.326554368
LSM3	0.215701774	0.270252052
STX7	0.215606449	0.546438455
PPIL1	0.215361176	0.589874351
PRPSAP1	0.215308833	0.426001075
TAF4	0.214902085	0.943512498
PEX3	0.214852441	0.617677243
EFTUD1	0.214783322	0.470887882
GPAA1	0.214113905	0.54021513
CTSB	0.213117027	0.298752243
MYL6B	0.212770224	0.563512327
PIK3R2	0.212382041	0.524534269
G6PC3	0.21215969	0.606180732
TMEM132A	0.211806493	0.589639936
CDC73	0.211779303	0.31017795
SUMF2	0.211212762	0.406472318
1-Sep	0.211034455	0.959585947
PPP3R1	0.210465189	0.615414743
XRN2	0.210408711	0.326411978
GNL1	0.209934914	0.382063044
LIG3	0.209493759	0.603632793
NF2	0.209431433	0.430300527
SERPINE1	0.208491599	0.736440851
PRPF3	0.208449087	0.630401065
SERPINH1	0.208207772	0.315065214
NDUFS8	0.208039646	0.263194671
ALCAM	0.207830083	0.478232613
FUCA2	0.207741715	0.509233029
SNX3	0.207060698	0.405734982
STAU2	0.206679684	0.521903392
ARHGAP31	0.206591577	0.960436314
MMTAG2	0.206129411	0.960524598
ARMC10	0.205964083	0.452468418
MYLK	0.205624412	0.466511211
AP3M2	0.205619938	0.960622158
YIPF6	0.20552399	0.678448697
MAP2K3	0.205108287	0.298259493
HSPG2	0.204838528	0.708759335
METTL13	0.204692246	0.380446024
HERC4	0.204384646	0.474272456
PGM2L1	0.204379237	0.507706299
TMSB10	0.204093381	0.470555112
MSMO1	0.203964543	0.533516442
RELA	0.203728133	0.502492471
SLC25A32	0.203257665	0.402433954
RAB5B	0.203201364	0.26904926
NIFK	0.202848792	0.492842283
ADK	0.202353869	0.348013916
SEC22B	0.201882545	0.565619587
RPRD1B	0.201711012	0.496312518
SPG21	0.201618273	0.380158513
CNOT7	0.201509116	0.961408743
EXT1	0.201469683	0.945451668
MRPS9	0.201460717	0.282265322
BOLA1	0.201147403	0.961478126
IVNS1ABP	0.201099816	0.469746486
STAM2	0.200972188	0.331424247
IGF2BP2	0.200558617	0.264444063
TRADD	0.200550908	0.561740688
TNPO2	0.199694844	0.342167359
COMMD9	0.199504246	0.38517721
ASAP2	0.199473903	0.562732298
CHMP2B	0.199456995	0.670690144
GALNT2	0.198301787	0.33439421
TMCO3	0.198295873	0.386719504
VPS53	0.198088461	0.329301431
SLC4A7	0.198078514	0.52085089
COPS8	0.197554337	0.405841743
PTX3	0.197453449	0.652659676
ANKRD52	0.197237151	0.489539673
COX7A2L	0.197015465	0.525681202
RPL10	0.196998479	0.289023823
SLC44A1	0.196957553	0.29736984
NPM3	0.196932113	0.310189676
MEX3D	0.196826374	0.599901633
TFB1M	0.196733326	0.423238212
CPS1	0.196730883	0.432467373
MARK3	0.196375957	0.287826552
STX5	0.196005744	0.489368629
RABL6	0.195848626	0.413597113
MYO6	0.195625265	0.37711929
PDPK1;PDPK2P	0.195253417	0.307284389
PYGB	0.195171766	0.327454054
AKAP2	0.194755968	0.585524053
DPP3	0.194484171	0.329527897
GATC	0.194160781	0.440409995
KHDRBS1	0.193779985	0.505424136
MRPL16	0.193714995	0.369736259
DPY19L1	0.193624658	0.435174558
UBE2V1	0.193232214	0.3423445
CUL7	0.193192194	0.526981837
RBMS1	0.192954331	0.715026475
EIF4A2	0.19285662	0.366681483
RNASEH2C	0.192805762	0.557053053
DNAAF5	0.191671712	0.401908328
NFKB2	0.19141114	0.73152802
C11orf68	0.191018868	0.441645153
HAUS8	0.190957349	0.486534195
SIRPA;SIRPB1	0.190731911	0.474327545
NDUFAF4	0.190598065	0.526064952
GIT1	0.190205971	0.623827061
AIP	0.189611873	0.506033757
CDC42EP3	0.189241913	0.670909062
ACTR1A	0.189093215	0.264712683
DDX19A	0.188653558	0.468074797
MRPS7	0.188533523	0.281751706
CERS2	0.188073955	0.382429121
PSMA5	0.188022834	0.330007431
NFS1	0.187676399	0.951964987
IRAK4	0.186753539	0.488698462
ELMO2	0.186552342	0.479017709
INTS5	0.185367188	0.584662142
DPYSL2	0.185312301	0.558696453
UACA	0.185247286	0.285568279
PRPS2	0.185130141	0.324031533
SNX27	0.184617102	0.519735519
APOBEC3B	0.184086361	0.576517326
DARS	0.183210792	0.330644759
AAED1	0.183150626	0.964922218
MXRA7	0.182507146	0.270497774
MRPL3	0.182479473	0.390833483
CDS2	0.182247837	0.666733597
POMK	0.182194261	0.253958324
LEMD2	0.182077739	0.281964659
UBL4A	0.181863868	0.357858066
RASAL2	0.181596194	0.486241419
EHBP1L1	0.180949232	0.633632641
SLC7A6	0.180781486	0.965375656
RPL39P5;RPL39	0.180614356	0.752877286
RFC4	0.180457425	0.404375102
NDUFV3	0.180204371	0.95474544
IRF2BPL	0.180106482	0.635028747
LYAR	0.180088041	0.538337772
CLPP	0.179989512	0.56412286
APTX	0.17976119	0.554693785
PTGES2	0.179586812	0.643805351
TPMT	0.179579334	0.49713248
PSMB10	0.179490713	0.748742151
HNRNPF	0.17938065	0.487600545
SLC25A12	0.179119162	0.518719895
CAPN5	0.179104116	0.560787732
FBXO7	0.179001039	0.466709639
LAMP2	0.17899822	0.499972365
ARF6	0.178727261	0.315974066
PPP1R10	0.178587739	0.386740361
COPE	0.17829751	0.547809616
MUT	0.178200518	0.386636855
SMYD3	0.177565931	0.676015426
MPHOSPH10	0.17754608	0.275808797
DGKA	0.177185745	0.686918752
GABPB1	0.176918542	0.70937115
B4GAT1	0.176800356	0.686740049
GAA	0.176689511	0.533123742
IRGQ	0.176374734	0.296376765
DNAJB4	0.176064845	0.563898299
DPM1	0.175962215	0.523736693
PREP	0.175922461	0.367140683
TECR	0.175817973	0.301286274
C9orf142	0.175676908	0.40739249
NME7	0.175190877	0.430079107
SERPINB8	0.174941997	0.587033195
ACOT13	0.174790044	0.375192332
TERF2	0.173910714	0.5739497
SLC26A4	0.17351327	0.545812664
GLRX	0.173384716	0.516191154
PRKACA	0.172429514	0.563125457
RCN2	0.172407221	0.256174401
TOM1L2	0.17231979	0.617831892
ACTR1B	0.172136557	0.334722832
PACSIN1	0.171866223	0.420284069
PTRH1	0.171182997	0.282532035
TM9SF4	0.17111451	0.654526538
SPTLC1	0.171107461	0.388167267
GGH	0.170882024	0.631067249
NDUFB1	0.170763456	0.294411611
MBNL1	0.170450074	0.45813679
PPP1R18	0.170149219	0.355017001
IFI16	0.170032009	0.401833669
CHPT1;CEPT1	0.169777132	0.714385158
GMPR2	0.169618685	0.262833553
PLOD1	0.169511323	0.330518096
RAB3GAP1	0.169351731	0.373382052
ANKRD28	0.169151124	0.715516752
TSNAX	0.169089681	0.400338853
NIF3L1	0.168891469	0.315133982
NBN	0.168835494	0.74194154
SH3KBP1	0.168636953	0.420852277
RAB1A	0.168582565	0.283456732
GALK1	0.168332732	0.499832279
NECAP1	0.167930649	0.592313724
VPS16	0.167632392	0.63312211
SAP130	0.167577809	0.553031059
CISD1	0.167501515	0.424912372
MYO5A	0.167462784	0.411819501
TTI1	0.167338532	0.40989657
PLEKHA2	0.166908632	0.525133407
RALA	0.166654229	0.614679806
SIPA1L3	0.166483683	0.531592235
SUCO	0.166332484	0.968141635
EML1	0.16629149	0.617931464
ZFAND6	0.166245386	0.661576508
GDI1	0.16575855	0.402142064
ANAPC2	0.165574336	0.516781168
BNIP3L	0.165444909	0.52691298
ARHGEF2	0.16538967	0.464760067
BCS1L	0.165335594	0.466390067
ATOX1	0.165178002	0.523122618
NCOA7	0.164597072	0.676896151
CMAS	0.164523432	0.6820492
TBC1D10B	0.164451704	0.502154304
INTS1	0.163940719	0.547293475
PEG10	0.163722317	0.683189728
SMURF2	0.163661353	0.689466012
TMED9	0.163141243	0.646169962
OCRL	0.163069833	0.685948656
CLASP1	0.162809761	0.286986553
MOGS	0.162730459	0.608013235
RAB9A	0.162718485	0.571771438
VPS51	0.162548617	0.468825095
SMC6	0.162103005	0.596657684
CHD4	0.161921211	0.379135602
TRIP11	0.161836741	0.406950842
HEBP2	0.161750927	0.392735248
RP2	0.161747289	0.796395709
EMC1	0.161560224	0.462145412
RPL27A	0.16111322	0.435726172
SCRN2	0.161041288	0.478793664
SRC	0.160241194	0.422044935
MAP3K7	0.159924596	0.451549801
TRIM33	0.159770418	0.570555732
ERP44	0.159343838	0.313895648
NUCKS1	0.159051713	0.593861703
TIMMDC1	0.158941591	0.412633459
CUL5	0.15887077	0.458210294
FCHO2	0.158727663	0.606633338
NDUFA12	0.158509569	0.527427162
FKBP14	0.158479106	0.681212267
RBM26	0.158413155	0.413435826
HSPA6;HSPA7	0.157537682	0.507039784
RRP8	0.156731694	0.811072309
B4GALT1	0.156680153	0.72068421
GJA1	0.156484872	0.566323472
SYMPK	0.15631267	0.487455828
PPIG	0.155958603	0.281637859
THOC6	0.155901851	0.654149253
GPT2	0.155762399	0.676773885
OTUB1	0.155563852	0.354375777
TRIP4	0.155554718	0.578907188
KIAA0391	0.155463258	0.427742098
EHD1	0.155275067	0.53707132
GABPA	0.155139919	0.641988263
ZPR1	0.154966165	0.256269246
SEC24A	0.154956453	0.380569376
CYP2C19	0.154938847	0.661544725
CLMP	0.154901069	0.531096815
FH	0.154809973	0.421919902
SOS1	0.154373273	0.78588965
VPS26A	0.154209008	0.312314108
MCU	0.154163194	0.370082959
ITPRIP	0.153963704	0.387855309
HMOX2	0.153737294	0.604895846
USP32	0.153638195	0.466607713
SRRM1	0.153158493	0.426578875
FKBP10	0.152907585	0.301080201
C11orf54	0.152880007	0.506834312
CTSZ	0.152854018	0.725364877
FUT8	0.152146474	0.391870248
CDC23	0.152037218	0.604804986
LRCH1	0.151859285	0.970912372
WLS	0.151828546	0.715675033
RBM27	0.151440201	0.3631922
TRIM16;TRIM16L	0.151240967	0.790324562
MED14	0.15083982	0.729168473
CLPB	0.150704293	0.402837531
CNOT2	0.150624436	0.699439145
PMM2	0.150325503	0.639192918
C18orf25	0.149541009	0.633864066
UBE2E3;UBE2E2;UBE2E1	0.149493606	0.629643311
KATNAL2	0.149347222	0.35611712
APEH	0.149301296	0.354786463
CWC27	0.148644637	0.696220038
DNAJC10	0.148456785	0.515607832
NQO1	0.148347944	0.617754221
PRDX5	0.147905949	0.451472079
HRNR	0.147569817	0.814843864
LZTFL1	0.14756745	0.648555048
ATP6V1F	0.147050819	0.584085535
DNMBP	0.146994739	0.267563051
PFDN2	0.146784294	0.539312205
MRPL17	0.146415745	0.512058901
PRKAR2A	0.146377323	0.491194073
INPP5K	0.146329887	0.71321923
HDGFRP3	0.146320967	0.451946509
CHTOP	0.146226045	0.633847106
BLOC1S4	0.146114775	0.704420202
GTF2F1	0.145665655	0.40370754
CARM1	0.14558842	0.58698212
MYOF	0.145366534	0.29873764
ALDH3A2	0.14527053	0.533405809
CALCOCO2	0.145127757	0.318832637
TMSB4X	0.144754886	0.68618125
SRP19	0.144411208	0.566438783
HEATR6	0.144238691	0.489545983
PUM1	0.143764703	0.385616611
MT-ATP6	0.143640579	0.265010504
ALDH9A1	0.143565219	0.4513634
RNPS1	0.143452968	0.771497064
VPS45	0.143438079	0.294525381
CSRP1	0.143429133	0.597787437
ITGA7	0.143115471	0.776794819
ZYG11B	0.142463109	0.464501769
PSMB4	0.142442335	0.624745072
POLA1	0.142351482	0.801423446
RRAGC;RRAGD	0.142181593	0.524636968
COG6	0.142006546	0.756970574
SNCA	0.141973411	0.724229806
PAXBP1	0.141532031	0.737687366
PPP1R2;PPP1R2P3	0.141239816	0.369018909
MAGED2	0.140719486	0.716099564
GSPT2	0.14041509	0.355756199
STX12	0.140348323	0.494323762
ANTXR2	0.140284805	0.622231481
RBBP9	0.140216239	0.514458243
EXOSC6	0.140036373	0.630785156
GNS	0.139763842	0.557270592
TAF7	0.139492859	0.680626868
TTI2	0.139443391	0.629070418
BIN3	0.139400736	0.268120009
SERPINB1	0.139362255	0.710027605
RPS27L	0.139216011	0.625074494
MVP	0.139199668	0.621710321
CCT5	0.139178874	0.25765426
TAPBP	0.13916804	0.790407564
DIS3L2	0.139137592	0.303744214
TRIM56	0.13883312	0.42682859
MAVS	0.13855807	0.468668051
EIF3E	0.138544433	0.403673704
USP48	0.138536601	0.807683142
CPT1A	0.138076361	0.434052291
AAAS	0.13806042	0.537025183
GSTO1	0.137926109	0.327554456
DNAJB6;DNAJB3	0.137661346	0.747803986
NEDD4	0.137330939	0.480112239
ENOPH1	0.137189791	0.563753743
QDPR	0.137063792	0.525113021
LYPLA1	0.137061536	0.523423
RAB3GAP2	0.136986929	0.410320386
ATP5B	0.136651417	0.283175428
CD44	0.136529151	0.255777939
RAB6A	0.136280076	0.372525447
KRAS	0.136224006	0.973906005
SDAD1	0.136024031	0.39820384
TOR4A	0.135991677	0.317229531
GOPC	0.135942151	0.274595782
AP2M1	0.135593342	0.499255168
ADPRHL2	0.13544324	0.617808245
CCDC132	0.135410423	0.974061848
EXOSC10	0.13538047	0.506414098
DNM1L	0.135250955	0.267787151
NRP2	0.135122398	0.965694955
NDUFS7	0.134804249	0.355325041
CC2D1B	0.13435803	0.360568394
ENOSF1	0.134309154	0.809350067
CTNNB1	0.133913763	0.272363219
DCAF8	0.133613481	0.346129171
ERI3	0.133468103	0.527537587
MPG	0.13310619	0.702062682
DBT	0.132717141	0.554696983
UBASH3B	0.132701578	0.529098924
UAP1	0.132587001	0.525949349
VDAC2	0.132322762	0.456699567
CD2AP	0.132299535	0.582342396
PNPLA6	0.132150412	0.328031348
PGRMC2	0.132113007	0.505434871
ATG9A	0.132094602	0.774397507
MBD2	0.132004577	0.540751647
GGCT	0.131966742	0.750660976
G6PD	0.131824859	0.511391908
PSMB2	0.131788388	0.383485488
NUP133	0.13127166	0.582400518
BIRC6	0.131154911	0.461846369
EIF2B3	0.130826227	0.411454275
GOLIM4	0.130660958	0.372758419
PDLIM7	0.130566097	0.466921222
ADPGK	0.130507116	0.571442195
SNRPC	0.130412835	0.581759381
PGM5	0.13017406	0.893318376
NIPBL	0.130121172	0.48745188
UBA5	0.130051463	0.357242663
EIF4A1	0.129894446	0.560889212
RALB	0.129804566	0.408291043
SVIL	0.129694144	0.644959179
EXOC3	0.129298331	0.438514207
CYB5R1	0.129204298	0.704268297
SMG6	0.128966813	0.685114643
MRPS28	0.128913611	0.556120028
CAPZA1	0.128911131	0.28278684
RPL30	0.128610096	0.566886657
MON2	0.128600907	0.325272943
TAOK1	0.128582401	0.611150242
HMGB2	0.128456379	0.68486836
HBA1	0.128352403	0.975413418
RAI1	0.128292558	0.806588364
ARFGAP3	0.127778654	0.64769599
YTHDF3	0.127726606	0.461705405
NRBP1	0.127693114	0.509228984
LSM2	0.127684983	0.608641816
PSME1	0.127502955	0.59868781
REEP5	0.1273751	0.71839215
LMO7	0.127209498	0.823017155
SLK	0.127107476	0.422729675
LDHA	0.12704363	0.331704331
RPP30	0.127022059	0.590284667
SLC11A2	0.127005409	0.54316807
