ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
CC	GO:0098554	cytoplasmic side of endoplasmic reticulum membrane	10/4930	15/19518	0.000863913	2.68E+00	0.000885213	RPS28/RPS29/EPM2AIP1/DNAJA1/RPL27/HM13/SPPL2A/PTPN1/THADA/PKD2	10
CC	GO:0098685	Schaffer collateral - CA1 synapse	38/4930	94/19518	0.000870182	2.68E+00	0.000888684	DVL1/TUBB2B/EFNB2/FBXL20/ACTG1/ROCK1/AKAP12/PAFAH1B1/SLC30A1/ITGB1/CAPZB/CTNND1/PPFIA1/NPTN/ABR/PLAT/PPP3R1/SNX27/RALA/CTNNB1/EEA1/BAIAP2/PRKCI/PPP3CA/ARHGDIA/GIPC1/CDK5/PFN2/WNT5A/PLCG1/BCR/CASK/ACTB/HIP1/ITPR1/PTPRD/PTPRS/PRKAR1B	38
CC	GO:0005721	pericentric heterochromatin	16/4930	30/19518	0.000915977	2.66E+00	0.000932365	ATRX/HELLS/CENPB/UHRF2/INCENP/POLE3/BAZ1B/CBX5/LRWD1/BAZ1A/CBX1/DNMT1/CBX3/SMARCA5/NCAPD3/EZH2	16
CC	GO:0000118	histone deacetylase complex	33/4930	79/19518	0.000951089	2.64E+00	0.00096492	SAP18/HDAC1/RBBP4/HDAC3/HDAC6/KDM3B/TBL1XR1/SAP130/CHD4/MBD2/HDAC2/RUVBL2/SIN3A/HINT1/RUVBL1/GATAD2B/TRRAP/JMJD1C/NCOR1/GATAD2A/CBX5/ANP32E/RBBP7/MTA2/CFDP1/OGT/MTA1/SAP30/MORF4L1/BRD8/EP400/ZNF217/MBD3	33
CC	GO:0000145	exocyst	9/4930	13/19518	0.001068103	2.59E+00	0.001080083	EXOC6B/EXOC8/EXOC4/EXOC3/EXOC2/EXOC7/EXOC1/EXOC5/TNFAIP2	9
CC	GO:0005871	kinesin complex	22/4930	47/19518	0.00111256	2.58E+00	0.001121362	KIF1C/KIF14/KIF3B/KIF11/KIF20A/KIF23/KIF21B/KIFAP3/PAFAH1B1/KLC2/KIF13B/KLC4/KLC1/KIF2A/KIF5B/KIFC1/KIF3A/KIF2C/KIF20B/KIF13A/KIF22/NDE1	22
CC	GO:0032839	dendrite cytoplasm	15/4930	28/19518	0.001243706	2.53E+00	0.001249463	KIF3B/PURA/HIP1R/MAP2/STAU2/ZC3H14/FLOT2/BAIAP2/CANX/STAU1/MAP2K4/KIF5B/HNRNPU/ABHD12/SOD1	15
CC	GO:0000109	nucleotide-excision repair complex	8/4930	11/19518	0.001274856	2.53E+00	0.001264284	ERCC5/RAD23B/ERCC4/CETN2/ERCC3/POLD1/XRCC1/ERCC1	8
CC	GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	8/4930	11/19518	0.001274856	2.53E+00	0.001264284	ATP6V1C1/ATP6V1E1/ATP6V1F/ATP6V1D/ATP6V1A/ATP6V1B2/ATP6V1H/ATP6V1G1	8
CC	GO:0000815	ESCRT III complex	8/4930	11/19518	0.001274856	2.53E+00	0.001264284	CHMP6/CHMP7/CHMP2B/CHMP4B/CHMP1A/CHMP4A/CHMP2A/CHMP3	8
CC	GO:0033180	proton-transporting V-type ATPase, V1 domain	8/4930	11/19518	0.001274856	2.53E+00	0.001264284	ATP6V1C1/ATP6V1E1/ATP6V1F/ATP6V1D/ATP6V1A/ATP6V1B2/ATP6V1H/ATP6V1G1	8
CC	GO:0019897	extrinsic component of plasma membrane	54/4930	147/19518	0.001302509	2.52E+00	0.001287568	GNA14/OSBPL2/USP8/RACGAP1/FARP1/GNA11/SNX18/CTNNA1/CTNND1/GNB1/LYN/CTNNA2/FERMT2/AKAP9/GNA12/CAV2/GNG5/S100A6/CDK16/GNB4/CDH13/SRC/KRAS/AP2M1/CTNNB1/PICALM/GNA13/EEA1/STXBP1/CRKL/SCRIB/IQGAP1/AKT1/PPP3CA/DNAJA3/GNB2/CDH2/RHOA/GNAS/GNAQ/NUMA1/FMR1/GRAMD1A/AAK1/JUP/GNAI2/ANXA1/SYAP1/YES1/ESYT2/HIP1/GNAI3/FER/SERPINE2	54
CC	GO:0031256	leading edge membrane	64/4930	180/19518	0.001309645	2.52E+00	0.001290486	KSR1/SH3BGRL3/VASP/MACF1/MTMR9/MTMR6/ARF4/APPL2/TLN1/PACSIN2/ITGB1/MYO1C/CFL1/FERMT2/ATP6AP2/CLASP2/FAP/HIP1R/PIEZO1/NME1/NF2/MYO6/PACSIN1/ARHGEF2/SRC/INPP5K/CD44/NCKAP1/SPTBN1/EEF1A1/TWF1/ITGAV/PPP1R9B/RPS3/EGFR/IFIT5/CORO1C/CSPG4/EPB41L3/RHOA/AKT2/DIAPH1/PTPRK/EPS8/ITGA5/ATP2B1/PAK1/PSD3/PTPRJ/STX4/PLCG1/EPS8L2/THY1/DNM2/PIP5K1A/SYNE2/CDC42/EPHA2/TPM1/EZR/ANTXR1/ADAM17/KANK1/SLC39A6	64
CC	GO:0030130	clathrin coat of trans-Golgi network vesicle	11/4930	18/19518	0.001356917	2.50E+00	0.001328577	AP1M1/AP1G1/AP1B1/CLTC/AP2A1/CLTA/AP1S1/CLTB/SYNRG/CLTCL1/AP1S2	11
CC	GO:0031527	filopodium membrane	11/4930	18/19518	0.001356917	2.50E+00	0.001328577	HLA-G/MYO10/VASP/NF2/ARF6/ITGAV/UTRN/ITGA3/SYNE2/ANTXR1/DMD	11
CC	GO:0005868	cytoplasmic dynein complex	13/4930	23/19518	0.001369226	2.50E+00	0.001336386	DYNC1H1/DYNC2H1/DYNLT1/SNX4/DYNC1LI1/DYNLRB1/DYNC1I2/DCTN4/DYNC1LI2/DYNLT3/TPR/NUDCD3/DYNC1I1	13
CC	GO:1902493	acetyltransferase complex	40/4930	104/19518	0.001991081	2.34E+00	0.001937196	TAF6/BRPF1/POLE4/NAA16/USP22/NAA10/NAA25/NAA50/NAA15/MCRS1/NAA38/TAF4/MAP3K7/TAF7/DLD/NAA30/RUVBL2/RUVBL1/ACTL6A/WDR5/DR1/SF3B3/MORF4L2/TRRAP/NAA35/POLE3/HCFC1/SF3B5/OGT/NAA20/ACTB/ENY2/MORF4L1/BRD8/EP400/KAT7/TAF10/ACTBL2/SUPT7L/TAF2	40
CC	GO:0001673	male germ cell nucleus	23/4930	52/19518	0.002218718	2.29E+00	0.002151884	CTCF/TRIP13/TERF2IP/HSPA2/CDK2/CDK7/TRIM24/TAF4/TERF2/TAF7/TSN/DAZAP1/PCNA/ANKRD17/TOP1/RAN/TOP2A/SMARCC1/MLH1/TAF10/MORC1/TBPL1/RAD51	23
CC	GO:0005750	mitochondrial respiratory chain complex III	9/4930	14/19518	0.002320205	2.28E+00	0.002229283	UQCR11/UQCR10/BCS1L/UQCRQ/UQCRC1/UQCRB/UQCRC2/UQCRH/CYC1	9
CC	GO:0045275	respiratory chain complex III	9/4930	14/19518	0.002320205	2.28E+00	0.002229283	UQCR11/UQCR10/BCS1L/UQCRQ/UQCRC1/UQCRB/UQCRC2/UQCRH/CYC1	9
CC	GO:1990023	mitotic spindle midzone	9/4930	14/19518	0.002320205	2.28E+00	0.002229283	PRC1/CTTN/AURKB/EML1/NUMA1/HNRNPU/RCC2/KIF20B/CENPE	9
CC	GO:0032806	carboxy-terminal domain protein kinase complex	11/4930	19/19518	0.002489819	2.25E+00	0.00236806	GTF2H1/CDK13/MNAT1/CDK12/CDK7/ERCC3/CCNK/MMS19/CDK9/CCNT1/ERCC2	11
CC	GO:0042575	DNA polymerase complex	11/4930	19/19518	0.002489819	2.25E+00	0.00236806	POLE4/PRIM1/POLA1/POLD1/POLA2/POLE3/POLD2/POLD3/MCM3/PRIM2/POLE2	11
CC	GO:0099522	cytosolic region	11/4930	19/19518	0.002489819	2.25E+00	0.00236806	CTBP2/ARL6IP5/GDI1/STXBP1/PIN1/BAIAP2/HSPA8/DAG1/PLCB3/DBN1/HTT	11
CC	GO:0099572	postsynaptic specialization	116/4930	364/19518	0.002495353	2.25E+00	0.00236806	DVL1/SHARPIN/EFNB2/IQSEC1/USP8/SIGMAR1/RTN3/RPS25/SEMA4B/RPS27/TSC1/PTEN/FXR2/ADD1/PRNP/CRYAB/FABP5/EGLN1/TANC1/SLC30A1/HOMER3/RPL12/CAPZB/AURKA/CTNND1/LYN/RTN1/NPTN/AKAP9/ADD3/ADAM10/DLG3/SRGAP2/MYD88/SLC8A1/HIP1R/MTMR2/CPEB4/CAP2/PJA2/GIT1/SRC/SOS1/EIF3E/GOPC/CTNNB1/RPL30/DLGAP4/PCBP2/SYNPO/GPHN/HNRNPD/PHB2/SPTBN1/RHEB/RPL7/SDCBP/BAIAP2/SCRIB/SLC16A3/RPL8/MPDZ/RPS19/NSF/ATP1A1/VPS35/HNRNPH2/PCBP1/RPS14/NCS1/PPP1R9B/ABI1/RPL6/HSPA8/RAB8A/MAP1B/RPS3/CAMK1/RTN4/CDH2/CDK5/FXR1/EIF3A/DNAJB1/RPS13/EPS8/DLG5/PSD3/RPS18/PAK2/STRN/DLG1/HNRNPA3/RPL14/DNM2/FMR1/PDLIM5/RPL38/PLEKHA5/BCR/EEF2K/TSC2/ZDHHC5/DGCR8/MINK1/ITPR1/KPNA1/SLC6A9/SIPA1L1/PTPRS/BNIP3/SEMA4C/DAPK1/SPOCK1/CRIPT/GRIPAP1	116
CC	GO:0016592	mediator complex	18/4930	38/19518	0.002611238	2.24E+00	0.002462877	MED31/MED9/MED11/MED25/MED4/MED23/MED20/MED28/MED27/MED14/THRAP3/MED29/BCLAF1/MED1/MED18/MED15/MED8/MED21	18
CC	GO:1905348	endonuclease complex	18/4930	38/19518	0.002611238	2.24E+00	0.002462877	AGO3/TARBP2/LAS1L/TSEN34/TRMT10C/POP4/DICER1/POP7/TSNAX/RPP30/TSN/AGO2/HSD17B10/PRKRA/POP1/DHX9/RPP40/DGCR8	18
CC	GO:0071782	endoplasmic reticulum tubular network	14/4930	27/19518	0.002701123	2.22E+00	0.002539888	REEP4/ATL3/ARL6IP1/REEP3/RAB18/RAB3GAP1/REEP5/EMD/STIM1/RAB10/KPNB1/ATL2/RTN4/ASPH	14
CC	GO:0035580	specific granule lumen	26/4930	62/19518	0.002961814	2.19E+00	0.002724088	CTSD/TOLLIP/ACAA1/ARMC8/DNASE1L1/QSOX1/PTX3/GGH/ERP44/CTSZ/ILF2/NEU1/PDXK/SPTAN1/KPNB1/RAB27A/NIT2/CANT1/CNN2/B2M/NFKB1/VCL/JUP/CYFIP1/GSDMD/TIMP2	26
CC	GO:0005845	mRNA cap binding complex	8/4930	12/19518	0.002976508	2.19E+00	0.002724088	NCBP2/RNMT/AGO2/NCBP1/EIF4E2/EIF4E/FMR1/CYFIP1	8
CC	GO:0031209	SCAR complex	8/4930	12/19518	0.002976508	2.19E+00	0.002724088	WASF2/SRA1/NCKAP1/BRK1/ABI1/CYFIP2/ABI2/CYFIP1	8
CC	GO:0044754	autolysosome	8/4930	12/19518	0.002976508	2.19E+00	0.002724088	PIK3C3/CLN3/FTL/LAMP2/GAA/FTH1/SQSTM1/LAMP1	8
CC	GO:0071006	U2-type catalytic step 1 spliceosome	8/4930	12/19518	0.002976508	2.19E+00	0.002724088	CWC22/RBM8A/SNRNP200/PRPF8/ISY1/EIF4A3/PRPF19/RBM22	8
CC	GO:0071012	catalytic step 1 spliceosome	8/4930	12/19518	0.002976508	2.19E+00	0.002724088	CWC22/RBM8A/SNRNP200/PRPF8/ISY1/EIF4A3/PRPF19/RBM22	8
CC	GO:0099243	extrinsic component of synaptic membrane	8/4930	12/19518	0.002976508	2.19E+00	0.002724088	FARP1/AKAP9/AP2M1/PICALM/STXBP1/CRKL/SCRIB/HIP1	8
CC	GO:1990062	RPAP3/R2TP/prefoldin-like complex	8/4930	12/19518	0.002976508	2.19E+00	0.002724088	PFDN2/POLR2E/RUVBL2/RPAP3/RUVBL1/PFDN6/PIH1D1/PDRG1	8
CC	GO:1990072	TRAPPIII protein complex	8/4930	12/19518	0.002976508	2.19E+00	0.002724088	TRAPPC5/TRAPPC3/TRAPPC12/TRAPPC11/TRAPPC8/TRAPPC1/TRAPPC4/TRAPPC13	8
CC	GO:0090575	RNA polymerase II transcription regulator complex	84/4930	254/19518	0.003046653	2.18E+00	0.002780035	HIF1A/GTF2E1/TAF6/MED31/MED9/MED11/USP22/MED25/FOSL1/MED4/RB1/CEBPZ/MED23/ASCC2/TCF12/GTF2B/HMGA1/GTF2F2/GTF2H1/MED20/STAT2/RFX5/E2F3/MNAT1/HYAL2/MED28/MED27/S100A10/CDK7/ERCC3/TAF4/CHD4/TRIP4/MED14/GTF2F1/TAF7/CTNNB1/TRIM28/RUNX1/GTF2A1/STAT6/ASCC3/ADNP/SMAD3/MMS19/HNRNPAB/SMAD2/NFYC/DR1/GEMIN5/RXRB/TRRAP/MED29/SFPQ/STAT1/STAT3/DRAP1/SMAD4/NONO/MED1/MED18/ERCC2/TLE3/YAP1/CBFB/MED15/RXRA/CBX3/TCEA1/ENY2/HLTF/TCF3/TFDP1/GTF2E2/TAF10/JUND/MED8/JUNB/TBPL1/MED21/BCL9L/IRF9/JUN/TAF2	84
CC	GO:0031248	protein acetyltransferase complex	39/4930	103/19518	0.003113533	2.17E+00	0.002832682	TAF6/BRPF1/POLE4/NAA16/USP22/NAA10/NAA25/NAA50/NAA15/MCRS1/NAA38/TAF4/MAP3K7/TAF7/NAA30/RUVBL2/RUVBL1/ACTL6A/WDR5/DR1/SF3B3/MORF4L2/TRRAP/NAA35/POLE3/HCFC1/SF3B5/OGT/NAA20/ACTB/ENY2/MORF4L1/BRD8/EP400/KAT7/TAF10/ACTBL2/SUPT7L/TAF2	39
CC	GO:0005742	mitochondrial outer membrane translocase complex	12/4930	22/19518	0.003135044	2.17E+00	0.002843863	MTX2/DNAJC11/CHCHD3/MTX1/APOO/TOMM40/TOMM22/CHCHD6/IMMT/SAMM50/APOOL/HSPA9	12
CC	GO:0098857	membrane microdomain	104/4930	324/19518	0.003146345	2.17E+00	0.002845745	VDAC1/PRKAR2B/TFPI/FLOT1/MAPK3/ATP1B1/CTSD/RAB5A/TPP1/PGK1/EHD2/PRNP/CLN3/PACSIN2/ITGB1/CTNNA1/MYO1C/LYN/ATP2B4/PRKAR1A/ENO2/SYNJ2/BCL10/CAV2/HDAC6/ATP1A4/HYAL2/STOM/SDC4/RGMB/S100A10/CDH13/ERLIN2/CASP3/SERPINH1/TRADD/LAMP2/PRKACA/SMURF2/SRC/GJA1/PRKAR2A/MYOF/STX12/CTNNB1/CSK/ERLIN1/SLC2A1/STAT6/FLOT2/IKBKB/PPP2R1B/SDCBP/STIM1/CLN6/IL6ST/CBL/KCNMA1/PPT1/LDHB/CRK/RIPK1/ATP1A1/HMOX1/FADD/CHP1/HK1/MAPK1/EGFR/CORO1C/BSG/CDH2/STOML2/PARK7/AHNAK/DAG1/MME/PI4K2A/MYADM/RANGRF/ATP2B1/LAMTOR1/DLG1/CAV1/CAPN2/THY1/EFHD2/NPC1/GNAI2/PPP2CA/RFTN1/APP/TUBB/CD55/FAS/EZR/GNAI3/GPC1/RAP2B/DMD/CASP8/PODXL/ADAM17/SLC9A1	104
CC	GO:0000151	ubiquitin ligase complex	99/4930	307/19518	0.003333425	2.15E+00	0.003006136	YPEL5/MAEA/CDC20/SHARPIN/DCAF16/MED31/CDKN1B/ANAPC15/USP33/MED11/FBXL20/UBE2L3/COMMD1/UBE2C/DCAF7/GID8/ANAPC7/DCUN1D1/SEL1L/RNF31/DCAF13/CAND1/UBE2A/AMFR/UBE4A/RING1/CUL4B/ZSWIM8/CDC16/STUB1/ARIH1/RANBP9/PDCD6/PHC2/ANAPC1/RNF2/RNF14/ARMC8/KLHL22/LZTR1/MED27/UBE2V1/CUL7/FBXO7/ANAPC2/SMURF2/CUL5/CDC23/ZYG11B/MAVS/NEDD4/DCAF8/LMO7/CUL1/UBE2L6/KEAP1/CUL2/UBR1/PEF1/CBLL1/USP47/FBXL18/DERL1/RBCK1/IKBKG/UBE4B/SKP1/CACYBP/DDB1/ARIH2/CUL3/CUL4A/ATG3/WDR26/ENC1/RNF40/KCTD5/BUB1B/SUGT1/BRCC3/FBXL15/SYVN1/CKS2/OS9/UBR2/UBE2S/DCUN1D5/RNF20/ANAPC5/CDC27/RBX1/RNF11/ANKIB1/CKS1B/DCUN1D3/RHBDD2/RMND5A/RAD51/MKLN1	99
CC	GO:0000159	protein phosphatase type 2A complex	10/4930	17/19518	0.003352544	2.15E+00	0.003014563	PPP2R1B/PPP2R5D/PPP2R2A/PPP2R5E/PPP2R5C/PPP2R1A/PPP2CA/PPP2R2D/PPP2CB/PPP2R3A	10
CC	GO:0031091	platelet alpha granule	35/4930	91/19518	0.003672557	2.11E+00	0.003292715	TGFB1/CD9/OLA1/VPS33B/ACTN1/SPARC/PHACTR2/IGF2/PCDH7/QSOX1/FN1/THBS1/SERPINE1/TMSB4X/SNCA/MAGED2/TOR4A/CYB5R1/STXBP1/VAMP7/TMX3/TGFB2/SCCPDH/STXBP3/NHLRC2/VTI1B/ALDOA/CD109/GAS6/APOOL/TEX264/ACTN4/APP/APLP2/SERPINE2	35
CC	GO:0008303	caspase complex	7/4930	10/19518	0.003726734	2.11E+00	0.003312401	PIGK/PIGS/GPAA1/CAPN1/PIGT/CAPNS1/CAPN2	7
CC	GO:0042564	NLS-dependent protein nuclear import complex	7/4930	10/19518	0.003726734	2.11E+00	0.003312401	KPNA3/MYBBP1A/KPNB1/KPNA4/KPNA2/SNUPN/KPNA1	7
CC	GO:0070938	contractile ring	7/4930	10/19518	0.003726734	2.11E+00	0.003312401	MAEA/ANLN/PRC1/MYH9/UTRN/DAG1/KIF20B	7
CC	GO:0031312	extrinsic component of organelle membrane	22/4930	51/19518	0.003994546	2.08E+00	0.003540236	ZFYVE1/TOR1A/USP8/ATP6V1C1/PXK/EMC2/FKBP1A/COQ6/TPRG1L/PML/ATP6V1D/ATP6V1A/ACADVL/ATP6V1B2/BIN1/GOLGA3/ANXA1/CCDC115/COQ5/TAMM41/SNX16/GRIPAP1	22
CC	GO:0045121	membrane raft	103/4930	323/19518	0.004095471	2.07E+00	0.003619282	VDAC1/PRKAR2B/TFPI/FLOT1/MAPK3/ATP1B1/CTSD/RAB5A/TPP1/PGK1/EHD2/PRNP/CLN3/PACSIN2/ITGB1/CTNNA1/MYO1C/LYN/ATP2B4/PRKAR1A/ENO2/SYNJ2/BCL10/CAV2/HDAC6/ATP1A4/HYAL2/STOM/SDC4/RGMB/S100A10/CDH13/ERLIN2/CASP3/SERPINH1/TRADD/PRKACA/SMURF2/SRC/GJA1/PRKAR2A/MYOF/STX12/CTNNB1/CSK/ERLIN1/SLC2A1/STAT6/FLOT2/IKBKB/PPP2R1B/SDCBP/STIM1/CLN6/IL6ST/CBL/KCNMA1/PPT1/LDHB/CRK/RIPK1/ATP1A1/HMOX1/FADD/CHP1/HK1/MAPK1/EGFR/CORO1C/BSG/CDH2/STOML2/PARK7/AHNAK/DAG1/MME/PI4K2A/MYADM/RANGRF/ATP2B1/LAMTOR1/DLG1/CAV1/CAPN2/THY1/EFHD2/NPC1/GNAI2/PPP2CA/RFTN1/APP/TUBB/CD55/FAS/EZR/GNAI3/GPC1/RAP2B/DMD/CASP8/PODXL/ADAM17/SLC9A1	103
CC	GO:0044309	neuron spine	61/4930	178/19518	0.004401618	2.04E+00	0.003878719	DVL1/PRKAR2B/USP8/KIF3B/EPHB2/FARP1/PTEN/FXR2/CRYAB/CTTN/ARF4/ACTN1/ITGB1/IGF2BP1/CTNND1/PPFIA1/ABR/ATP6AP2/SRGAP2/SLC8A1/HIP1R/MTMR2/PTK2/CPEB4/ARFGEF2/PDLIM4/MOB4/PRKACA/NEDD4/PPP1CA/SYNPO/PALMD/EEA1/BAIAP2/STRN4/CANX/PPP1R9B/RAB8A/MAP1B/PPP3CA/RHOA/ASAP1/PPP1CC/GIPC1/FXR1/DNAJB1/ATP2B1/STX4/STRN/ABI2/FMR1/BCR/EEF2K/APP/CYFIP1/CDC42/DOCK10/SIPA1L1/FRMPD4/ATP1A3/CRIPT	61
CC	GO:0005903	brush border	39/4930	105/19518	0.004580875	2.02E+00	0.004013745	MYH14/PEX19/FLNA/ITPR3/MYO1B/MYH9/HSP90AA1/ACTN1/MYO1C/CAPZB/DCXR/FLNB/ADD3/SLC27A4/GNA12/MFSD10/SLC26A4/B4GALT1/DNM1L/SLC11A2/GNA13/CLIC1/SLC7A11/ACTR3/PRKCI/SNX5/FLII/SLC38A2/MME/MYO1E/EPS8/PLEC/LIMA1/MYL6/CAPZA2/PLS1/ACTB/EZR/CYBRD1	39
CC	GO:0016605	PML body	39/4930	105/19518	0.004580875	2.02E+00	0.004013745	PTEN/RB1/ATRX/DAPK3/USP7/HSF1/LRCH4/ZMYM2/AKAP8L/MAPK7/SIRT1/N4BP1/NBN/SMC6/CALCOCO2/EIF3E/UBE2I/SPTBN4/PML/MTOR/CDK9/SP100/DAXX/PARK7/MORC3/CBX5/BASP1/RPA2/RPA1/SQSTM1/PATL1/ZNF451/SUMO3/SUMO1/ATR/NSMCE2/TOP3A/EIF4ENIF1/RAD51	39
CC	GO:0043197	dendritic spine	60/4930	175/19518	0.004652137	2.02E+00	0.004064637	DVL1/PRKAR2B/USP8/KIF3B/EPHB2/FARP1/PTEN/FXR2/CRYAB/CTTN/ARF4/ACTN1/ITGB1/IGF2BP1/CTNND1/PPFIA1/ABR/ATP6AP2/SRGAP2/SLC8A1/HIP1R/MTMR2/PTK2/CPEB4/ARFGEF2/PDLIM4/MOB4/PRKACA/NEDD4/PPP1CA/SYNPO/PALMD/BAIAP2/STRN4/CANX/PPP1R9B/RAB8A/MAP1B/PPP3CA/RHOA/ASAP1/PPP1CC/GIPC1/FXR1/DNAJB1/ATP2B1/STX4/STRN/ABI2/FMR1/BCR/EEF2K/APP/CYFIP1/CDC42/DOCK10/SIPA1L1/FRMPD4/ATP1A3/CRIPT	60
CC	GO:0098799	outer mitochondrial membrane protein complex	12/4930	23/19518	0.005061391	1.98E+00	0.004409716	MTX2/DNAJC11/CHCHD3/MTX1/APOO/TOMM40/TOMM22/CHCHD6/IMMT/SAMM50/APOOL/HSPA9	12
CC	GO:0001772	immunological synapse	19/4930	43/19518	0.005277589	1.97E+00	0.00458159	CD81/DUSP3/MYH9/NPTN/PRKAR1A/BCL10/STX7/ALCAM/SNX27/SCRIB/PDCD6IP/LGALS3/ARHGDIA/STOML2/ATP2B1/PTPRJ/DLG1/EZR/CORO1A	19
CC	GO:0000794	condensed nuclear chromosome	31/4930	80/19518	0.005303229	1.97E+00	0.00458159	AGO3/NCAPH2/RAD21/KIFAP3/TTN/HSPA2/SMC4/ADD3/NIFK/SUN2/UBE2I/NCAPH/CHMP1A/NOL6/RRS1/NCAPG/INCENP/SMC3/LRPPRC/BRD4/NCAPD2/RAD50/RCC1/SMC2/SMC1A/NCAPD3/PLK1/NCAPG2/MLH1/CHEK1/RAD51	31
CC	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	31/4930	80/19518	0.005303229	1.97E+00	0.00458159	GNA14/OSBPL2/RACGAP1/FARP1/GNA11/SNX18/GNB1/LYN/FERMT2/GNA12/CAV2/GNG5/S100A6/CDK16/GNB4/SRC/KRAS/GNA13/IQGAP1/AKT1/GNB2/RHOA/GNAS/GNAQ/GRAMD1A/GNAI2/SYAP1/YES1/ESYT2/GNAI3/FER	31
CC	GO:0150034	distal axon	89/4930	277/19518	0.00576334	1.93E+00	0.004965182	DVL1/TOR1A/KATNB1/MYH14/SIGMAR1/ACTG1/FLNA/KIF21B/EXOC8/RAB5A/TSC1/AMFR/PAFAH1B1/FXR2/PRNP/MICAL1/TANC1/HSP90AA1/CTTN/ITGA4/TAOK2/EXOC4/IGF2BP1/CFL1/AP3D1/TUBB3/CTNND1/CALCA/ENO2/DIXDC1/SYNJ1/SLC8A1/RUFY3/CPEB4/MAP2/RAB3A/GIT1/PACSIN1/MYO5A/SRC/ZPR1/SNCA/EXOC3/ATP6V0D1/COPA/TPRG1L/DOCK7/CBL/HSP90AB1/TWF2/EXOC7/IQGAP1/PPP1R9B/ABI1/KLC1/HSPA8/MAP1B/COPG2/TPBG/ITGA3/FKBP4/CDK5/FXR1/USP9X/EPS8/BASP1/FKBP15/BIN1/FSCN1/THY1/DNM2/DCTN2/FMR1/CAD/AAK1/DBN1/PALLD/DPYSL3/APP/STMN2/CYFIP1/SYAP1/ACTB/ITGA2/KIF20B/WDR47/PTPRS/SIRT2/ATP1A3	89
CC	GO:0000153	cytoplasmic ubiquitin ligase complex	8/4930	13/19518	0.006029957	1.92E+00	0.005137474	USP33/SEL1L/CUL2/DERL1/ATG3/SYVN1/OS9/RHBDD2	8
CC	GO:0005677	chromatin silencing complex	8/4930	13/19518	0.006029957	1.92E+00	0.005137474	RB1/SIRT1/RRP8/SUZ12/CBX3/SMARCA5/EZH2/SIRT2	8
CC	GO:0034518	RNA cap binding complex	8/4930	13/19518	0.006029957	1.92E+00	0.005137474	NCBP2/RNMT/AGO2/NCBP1/EIF4E2/EIF4E/FMR1/CYFIP1	8
CC	GO:0048188	Set1C/COMPASS complex	8/4930	13/19518	0.006029957	1.92E+00	0.005137474	BOD1/WDR82/WDR5/RBBP5/HCFC1/ASH2L/BOD1L1/DPY30	8
CC	GO:0005689	U12-type spliceosomal complex	14/4930	29/19518	0.006192853	1.91E+00	0.005247269	PHF5A/DHX15/SNRPE/SNRPD3/SNRPD1/SF3B2/SF3B4/SF3B6/SF3B3/SF3B1/SF3B5/SNRPD2/YBX1/SNRPF	14
CC	GO:0032585	multivesicular body membrane	14/4930	29/19518	0.006192853	1.91E+00	0.005247269	TMEM9/CHMP5/CHMP6/CHMP7/CHMP2B/CHMP4B/HGS/CHMP1A/RAB27A/CHMP4A/CD63/ABCB6/CHMP2A/CHMP3	14
CC	GO:0012510	trans-Golgi network transport vesicle membrane	11/4930	21/19518	0.006952493	1.86E+00	0.005874781	AP1M1/AP1G1/AP1B1/CLTC/AP2A1/CLTA/AP1S1/CLTB/SYNRG/CLTCL1/AP1S2	11
CC	GO:0008021	synaptic vesicle	69/4930	210/19518	0.007934896	1.80E+00	0.006686582	TOR1A/IQSEC1/COPS4/RAB5A/COPS5/SNAPIN/ATP6V1C1/ATP6V0C/NCSTN/CLN3/SYPL1/ATP6AP2/BCL2L1/MTMR2/ATP6V1E1/SYNGR2/CDK16/DYSF/RAB3A/STX7/RAB5B/TMED9/ATP6V1F/MYOF/VPS45/SNCA/STX12/DNM1L/STX6/PICALM/ATP6V0D1/ATP6AP1/TPRG1L/RAB35/ATP6V1D/RAB11B/ATP6V1A/PPT1/RAB3B/STX16/RAB8B/ATP6V1B2/RAB8A/VTI1B/SCAMP1/DNAJC5/RAB3D/GIPC1/WFS1/MME/CLTA/RAB7A/MFF/ATP2B1/BIN1/ATP6V0A1/STON2/APP/CLTB/TRAPPC4/LAMP1/RAB13/DMXL2/SLC6A9/VTI1A/SYT1/PTPRS/RAB12/SEMA4C	69
CC	GO:0005640	nuclear outer membrane	14/4930	30/19518	0.008949969	1.75E+00	0.007521413	CPTP/SIGMAR1/ITPR3/ITPRIP/RETSAT/EMD/SMPD4/NUTF2/LRPPRC/ENO1/SYNE2/SYNE1/TMEM109/DHCR7	14
